Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
942,3 Plus Solutions,3plus.solutions,Germany,Advertising & Marketing,68.7,19.1,"2,799,309","1,659,097",22,12,2018,
745,Ad'S Up Consulting,ads-up.fr,France,Advertising & Marketing,103.3,26.7,"27,991,060","13,766,000",139,121,2012,https://www.linkedin.com/company/ads-up-consulting/?originalSubdomain=fr
844,Agence Cohérence,agence-coherence.fr,France,Advertising & Marketing,84.3,22.6,"11,522,310","6,253,784",61,46,2012,https://fr.linkedin.com/company/agencecoherence
578,Agence Panenka,agence-panenka.com,France,Advertising & Marketing,153,36.3,"6,571,970","2,597,422",10,5,2012,https://uk.linkedin.com/company/panenkasheffield
89,alerabat.com,alerabat.com,Poland,Advertising & Marketing,955.3,119.3,27830803,2452526,35,27,2015,https://www.linkedin.com/company/alerabat.com-sp.-z-o.o.
595,ALH Consulting,alhconsulting.hu,Hungary,Advertising & Marketing,145,34.8,"1,634,968","743,685",2,1,2015,https://www.linkedin.com/company/alh-consulting-kft
211,BeInfluence Europe,beinfluence.eu,Belgium,Advertising & Marketing,436.3,75,6521488,1215986,40,8,2019,https://be.linkedin.com/company/beinfluence
629,Billion Dollar Boy,billiondollarboy.com,UK,Advertising & Marketing,130.6,32.1,"32,419,640","13,875,476",155,74,2014,https://www.linkedin.com/company/billion-dollar-boy
538,Buster,buster.fr,France,Advertising & Marketing,162.5,38,"1,544,196","588,249",4,2,2012,https://fr.linkedin.com/company/buster-fr
61,Buzzcube,buzzcube.io,UK,Advertising & Marketing,1367.9,144.9,3223058,216668,2,1,2019,
353,Content Ignite,contentignite.com,UK,Advertising & Marketing,271.4,54.9,"9,461,247","2,513,550",12,2,2014,https://uk.linkedin.com/company/contentignite
838,Digital Angels,digitalangels.com,Italy,Advertising & Marketing,85.9,23,"16,200,424","8,716,352",84,57,2007,https://www.linkedin.com/company/digitalangels/
834,Digital Masters,digital-masters.de,Germany,Advertising & Marketing,86.5,23.1,"7,626,727","4,089,105",72,32,2016,
28,Evolution Engineers,evolution-engineers.com,UK,Advertising & Marketing,2621.3,200.8,4062643,147318,6,2,2019,https://uk.linkedin.com/company/evolution-engineers
321,femtasy,femtasy.com,Germany,Advertising & Marketing,292.5,57.8,"8,337,568","2,124,036",35,14,2018,
446,Funnel,funnel.io,Sweden,Advertising & Marketing,206.1,45.2,"46,721,005","17,061,647",329,228,2014,https://www.linkedin.com/company/funnel-io
408,Gambling.com Group,gdcgroup.com,Ireland,Advertising & Marketing,228.7,48.7,"117,612,000","35,783,000",518,179,2006,https://www.linkedin.com/company/gambling-com-group
954,Genius And Co,geniusandco.fr,France,Advertising & Marketing,66.7,18.6,"6,842,142","4,104,301",15,15,2003,https://www.linkedin.com/company/genius-&-co
648,Grizzly New Marketing,grizzlymarketing.be,Belgium,Advertising & Marketing,127.2,31.5,"3,951,185","1,738,904",33,28,2010,https://www.linkedin.com/company/grizzlynewmarketinginc
573,Groupe Ceetadel,ceetadel.com,France,Advertising & Marketing,154.4,36.5,"22,340,000","8,780,000",218,103,2003,https://www.linkedin.com/company/allmatik/
549,Hermann Scherer,hermannscherer.com,Germany,Advertising & Marketing,159.7,37.5,"12,978,000","4,997,000",27,35,2018,https://www.linkedin.com/company/hermannscherer
109,IMG: Intermedia Global,intermedia-global.com,UK,Advertising & Marketing,812.6,109,16332703,1766078,44,13,2003,https://uk.linkedin.com/company/intermedia-global-limited
145,Iron Media,ecomscaling.org,Germany,Advertising & Marketing,659.9,96.6,7543100,992708,3,1,2021,https://www.linkedin.com/company/iron-media-ecom/
430,Logando,logando.de,Germany,Advertising & Marketing,217.1,46.9,"7,697,508","2,427,460",45,43,2013,
696,Magnitude,magnitude.fr,France,Advertising & Marketing,112.2,28.5,"5,024,743","2,367,617",50,28,2018,https://fr.linkedin.com/company/magnitude
576,Mawave,mawave.com,Germany,Advertising & Marketing,153.3,36.3,"8,442,955","3,333,520",122,23,2018,https://www.linkedin.com/company/mawave-marketing/
91,MC Media,mc-media.de,Germany,Advertising & Marketing,942.7,118.5,1831893,175689,11,1,2018,https://www.linkedin.com/company/mcgroupglobal
