id,ranking,temp_ranking,previous_ranking,company_name,city,country,state,current_employees,last_employees,employee_growth,founded,total_funding,linkedin_url,url,Industry,Points,valuation,valuation_as_of,Contact Data
1045228,1,,,"Anysphere","San Francisco","United States","CA",1418,48,2854.17,,"$176M","http://www.linkedin.com/company/anysphereinc","anysphere.inc","AI",3002,9900000000,"June 2025"," For Contacts and mobile phone number see lead411"
966653,2,,,"ElevenLabs","New York","United States","NY",1280,450,184.44,2022,"$353M","http://www.linkedin.com/company/elevenlabsio","elevenlabs.io","AI",2721,11000000000,"February 2026"," For Contacts and mobile phone number see lead411"
977455,3,,,"Mistral AI","Paris","FRA",,916,388,136.08,2023,"$1.19B","http://www.linkedin.com/company/mistralai","mistral.ai","AI",2545,11700000000,"September 2025"," For Contacts and mobile phone number see lead411"
976147,4,,,"Figure","Sunnyvale","United States","CA",790,348,127.01,2022,"$845M","http://www.linkedin.com/company/figure-ai","figure.ai","AI",2384,39000000000,"September 2025"," For Contacts and mobile phone number see lead411"
376099,5,,,"Abridge","Pittsburgh","United States","PA",326,120,171.67,2018,"$464M","http://www.linkedin.com/company/abridgehq","abridge.com","AI",2366,5300000000,"May 2025"," For Contacts and mobile phone number see lead411"
174917,6,,,"Lightmatter","Boston","United States","MA",257,184,39.87,2017,"$422M","http://www.linkedin.com/company/lightmatter","lightmatter.co","Hardware",2332,4400000000,"October 2024"," For Contacts and mobile phone number see lead411"
9967,7,5685,,"Shield AI","San Diego","United States","CA",147,114,28.51,2015,"$1.31B","http://www.linkedin.com/company/shield-ai","shield.ai","AI",2328,5300000000,"March 2025"," For Contacts and mobile phone number see lead411"
990745,8,,,"Mercor","San Francisco","United States","CA",4300,398,980.4,2023,"$135M","http://www.linkedin.com/company/mercor-ai","mercor.com","AI",2292,10000000000,"October 2025"," For Contacts and mobile phone number see lead411"
981798,9,,,"Saronic Technologies","Austin","United States","TX",342,114,234.15,2022,"$845M","http://www.linkedin.com/company/saronic-technologies","saronic.com","AI",2231,4000000000,"February 2025"," For Contacts and mobile phone number see lead411"
977489,10,,,"Together AI","San Francisco","United States","CA",806,400,101.5,2022,"$537M","http://www.linkedin.com/company/togethercomputer","together.ai","AI",2228,8300000000,"July 2026"," For Contacts and mobile phone number see lead411"
896978,11,,,"SandboxAQ","Silicon valley","United States","CA",331,287,15.35,2021,"$950M","http://www.linkedin.com/company/sandboxaq","sandboxaq.com","AI",2213,5600000000,"December 2024"," For Contacts and mobile phone number see lead411"
379118,12,,,"Celestial AI","Santa Clara","United States","CA",146,113,29.13,2020,"$589M","http://www.linkedin.com/company/celestial-ai","celestial.ai","AI",2205,2500000000,"March 2025"," For Contacts and mobile phone number see lead411"
1014616,13,,,"Sierra","San Francisco","United States","CA",1448,560,158.57,,"$285M","http://www.linkedin.com/company/sierra","sierra.ai","AI",2201,15800000000,"May 2026"," For Contacts and mobile phone number see lead411"
1045225,14,,,"Story","San Francisco","United States","CA",119,70,69.23,,"$193M","http://www.linkedin.com/company/story-foundation","story.foundation","AI",2140,2250000000,"August 2024"," For Contacts and mobile phone number see lead411"
471268,15,,,"Chainguard","Kirkland","United States","WA",549,185,197.14,2021,"$612M","http://www.linkedin.com/company/chainguard-dev","chainguard.dev","AI",2138,3500000000,"April 2025"," For Contacts and mobile phone number see lead411"
371007,16,,,"Peregrine","San Francisco","United States","CA",259,141,83.9,2018,"$253M","http://www.linkedin.com/company/peregrine-technologies","peregrine.io","Analytics",2136,2500000000,"March 2025"," For Contacts and mobile phone number see lead411"
385878,17,,,"KoBold Metals","Berkeley","United States","CA",290,227,28.07,2018,"$941M","http://www.linkedin.com/company/koboldmetals","koboldmetals.com","Mining",2117,2960000000,"January 2025"," For Contacts and mobile phone number see lead411"
1045232,18,,,"Supabase","San Francisco","United States","Ca",200,112,78.57,2020,"$398M","http://www.linkedin.com/company/supabase","supabase.com","SaaS",2112,5000000000,"October 2025"," For Contacts and mobile phone number see lead411"
977503,19,,,"Hippocratic AI","Palo Alto","United States","CA",438,222,97.3,2023,"$278M","http://www.linkedin.com/company/hippocratic-ai-health","hippocraticai.com","AI",2103,3500000000,"November 2025"," For Contacts and mobile phone number see lead411"
393341,20,,,"Synthesia","London","UK",,537,390,37.54,2017,"$334M","http://www.linkedin.com/company/synthesia-technologies","synthesia.io","AI",2081,2100000000,"January 2025"," For Contacts and mobile phone number see lead411"
